Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_11012_C_-1,Mol_11070_C_1,17.097352493943013,10.0,3.0,5.525644500012277,3.649403949995758,0.9996630999958143,-0.8765774500207044,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4567641821408496,0.4567641821408496,atomic_atomic,0,0.4567641821408496,0.4567641821408496,0,0.3636171384176207,0.3636171384176207,5.068880317871427,4.106168132136608,0.6360459615781935,-0.32666622415662583,-0.5499112258640784
Mol_1328_C_-1,Mol_1124_C_1,9.89005477131031,10.0,3.0,5.564679399991292,3.697600550003699,0.5178263999841874,-1.349252450003405,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.44308074458231866,0.44308074458231866,atomic_atomic,0,0.44308074458231866,0.44308074458231866,0,0.16368905142190304,0.16368905142190304,5.121598655408973,4.140681294586018,0.3541373485622844,-0.6267800122606709,-0.7224724377427343
Mol_11670_C_-1,Mol_11632_C_1,5.549717275505277,10.0,3.0,5.659487249984522,3.621500000008382,0.43438099999912083,-1.6036062499770196,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4457381992616706,0.4457381992616706,atomic_atomic,0,0.4457381992616706,0.4457381992616706,0,0.06461379672974712,0.06461379672974712,5.213749050722852,4.067238199270053,0.36976720326937373,-0.7767436481834253,-0.826862601793594
Mol_1393_C_-1,Mol_1180_C_1,6.4707730735462485,10.0,3.0,5.674434650019975,3.814998449990526,0.39972685000975616,-1.4597093500196934,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.44412585457484766,0.44412585457484766,atomic_atomic,0,0.44412585457484766,0.44412585457484766,0,0.08340861442606047,0.08340861442606047,5.2303087954451275,4.259124304565374,0.3163182355836957,-0.654866255296058,-0.8048430947236348
Mol_11707_C_-1,Mol_11901_C_1,13.724551059924691,10.0,3.0,5.784974050009623,3.73599684999499,1.0464527500153054,-1.0025244499993278,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4484286435766345,0.4484286435766345,atomic_atomic,0,0.4484286435766345,0.4484286435766345,0,0.2661437372010366,0.2661437372010366,5.336545406432989,4.1844254935716245,0.7803090128142687,-0.3718109000470955,-0.6307135499522323
Mol_1396_C_-1,Mol_1291_C_1,5.022393272230258,10.0,3.0,5.898335499980021,3.6106827500043437,0.46499239998229314,-1.8226603499933844,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.44725187141427625,0.44725187141427625,atomic_atomic,0,0.44725187141427625,0.44725187141427625,0,0.05495052739080966,0.05495052739080966,5.451083628565745,4.05793462141862,0.4100418725914835,-0.9831071345556414,-0.8395532154377429
Mol_1581_C_-1,Mol_1363_C_1,11.036291161162511,10.0,3.0,5.570838299987372,3.7471556500095176,0.6858653999952367,-1.1378172499826178,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4441845139465126,0.4441845139465126,atomic_atomic,0,0.4441845139465126,0.4441845139465126,0,0.19301496306065433,0.19301496306065433,5.126653786040859,4.19134016395603,0.4928504369345823,-0.4424631851502465,-0.6953540648323708
Mol_1581_C_-1,Mol_1403_C_1,16.322378825209533,10.0,3.0,5.643497049997677,3.7305487999983598,1.0278077499970095,-0.8851405000023078,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4545657338825282,0.4545657338825282,atomic_atomic,0,0.4545657338825282,0.4545657338825282,0,0.3410017888784028,0.3410017888784028,5.1889313161151485,4.185114533880888,0.6868059611186067,-0.3170108211156534,-0.5681296788866536
Mol_11090_C_-1,Mol_14447_C_1,12.665350195253463,10.0,3.0,5.58138424999197,3.7094148000032874,0.7704304500075523,-1.1015389999811305,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4464571866139591,0.4464571866139591,atomic_atomic,0,0.4464571866139591,0.4464571866139591,0,0.2368113615659049,0.2368113615659049,5.134927063378011,4.155871986617247,0.5336190884416474,-0.44543598831911635,-0.6561030116620133
Mol_1391_C_-1,Mol_1463_C_1,7.73641944089446,10.0,3.0,5.646663199993782,3.656268700011424,0.660319000002346,-1.330075499980012,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4429142517847669,0.4429142517847669,atomic_atomic,0,0.4429142517847669,0.4429142517847669,0,0.11201770793106763,0.11201770793106763,5.2037489482090145,4.099182951796191,0.5483012920712784,-0.556264704341545,-0.7738107956384661
